id,tax_id,genus,species,shortname,strain,description,orgdb_name,txdb_name,organismdb_name,author,maintainer,db_name,db_version,db_url
tcruzi_unassigned,353153,Trypanosoma,cruzi,Tcruzi,CLBrener,"T. Cruzi strain CL Brener unassigned sequences",org.TcCLB.unassigned.tritryp.db,TxDb.TcruziCLBrenerUnassigned.tritryp27.genes,Trypanosoma.cruzi.CLBrener.Unassigned,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,32,http://tritrypdb.org/tritrypdb/
tcruzi_esmeraldo,353153,Trypanosoma,cruzi,Tcruzi,CLBrenerEsmeraldo-like,"T. Cruzi strain CL Brener esmeraldo haplotype",org.TcCLB.esmer.tritryp.db,TxDb.TcruziCLBrenerEsmer.tritryp27.genes,Trypanosoma.cruzi.CLBrener.Esmeraldo,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,32,http://tritrypdb.org/tritrypdb/
tcruzi_nonesmeraldo,353153,Trypanosoma,cruzi,Tcruzi,CLBrenerNon-Esmeraldo-like,"T. Cruzi strain CL Brener nonesmeraldo haplotype",org.TcCLB.nonesmer.tritryp.db,TxDb.TcruziCLBrenerNonEsmer.tritryp27.genes,Trypanosoma.cruzi.CLBrener.NonEsmeraldo,"Keith Hughitt <khughitt@umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,32,http://tritrypdb.org/tritrypdb/
lmajor_friedlin,347515,Leishmania,major,Lmajor,friedlin,"Leishmania major strain Friedlin",org.LmjF.tritryp.db,TxDb.Lmajor.TriTrypDB27,Leishmania.major.Friedlin,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,32,http://tritrypdb.org/tritrypdb/
tbrucei,51400962,Trypanosoma,brucei,Tbrucei,TREU927,"Trypanosoma brucei strain TREU927",org.Tb927.tritryp.db,TxDb.Tbrucei.TriTrypDB27,Trypanosoma.brucei.treu927,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,32,http://tritrypdb.org/tritrypdb/
lpanamensis,51401647,Leishmania,panamensis,lpanamensis,MHOMCOL81L13,"Leishmania panamensis strain MHOMCOL81L13",org.LpMHOMCOL81L13.tritryp.db,TxDb.Lpanamensis.TriTrypDB27,Leishmania.panamensis.MHOMCOL81L13,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,27,http://tritrypdb.org/tritrypdb/
lbraziliensis,madeup,Leishmania,braziliensis,lbraziliensis,MHOMBR75M2904,"Leishmania braziliensis strain MHOMBR75M2904",org.LbrMHOMBR75M2904.tritryp.db,TxDb.LbraziliensisMHOMBR75M2904.TriTrypDB27,Leishmania.braziliensis.MHOMBR75M2904,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,28,http://tritrypdb.org/tritrypdb/
lmexicana,madeup,Leishmania,mexicana,lmexicana,MHOMGT2001U1103,"Leishmania mexicana strain MHOMGT2001U1103",org.LmexMHOMGT2001U1103.tritryp.db,TxDb.Lmexicana.TriTrypDB27,Leishmania.mexicana.MHOMGT2001U1103,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,27,http://tritrypdb.org/tritrypdb/
ldonovani,madeup,Leishmania,donovani,ldonovani,BPK282A1,"Leishmania donovani strain BPK282A1",org.LdonovaniBPK282A1.tritryp.db,TxDb.LdonovaniBPK282A.TriTrypDB27,Leishmania.mexicana.BPK282A,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,27,http://tritrypdb.org/tritrypdb/
ltopica,madeup,Leishmania,tropica,ltropica,L590,"Leishmania tropica strain L590",org.LtropicaL590.tritryp.db,TxDb.Ltropica590.TriTrypDB27,Leishmania.tropica.L590,"Keith Hughitt <khughitt at umd dot edu>","atb <abelew at gmail dot com>",TriTrypDB,32,http://tritrypdb.org/tritrypdb/
